Region_ISO_Code,Region,Region_Felt,Total_Quantity,Distribution_Rows,Unique_Partners,Unique_Receivers,Unique_Cities,Unique_Product_Types,Partners
UA-30,Kiev City,Kiev City,654693.0,275,6,34,3,26,"AMOR Ukraine Health Organization, Charity Fund Modern Village and Town, Charity Fund TAPS, Christian Medical Association, Mission Kharkiv, Yashchenko Foundation West HQ"
UA-12,Dnipropetrovska,Dnipropetrovsk,590548.0,813,8,85,42,24,"Charity Fund Hromada Hub, Charity Fund Modern Village and Town, Charity Fund TAPS, Christian Medical Association, Humanitarian Hub Zhytomyr, ICF UKRAINIAN SOUL, Mission Kharkiv, Yashchenko Foundation West HQ"
UA-71,Cherkasy,Cherkasy,343223.0,586,7,46,27,22,"AMOR Ukraine Health Organization, Charity Fund Modern Village and Town, Charity Fund TAPS, Christian Medical Association, Humanitarian Hub Zhytomyr, Mission Kharkiv, Yashchenko Foundation West HQ"
UA-46,Lvivska,Lviv,290326.0,317,8,39,17,23,"CF Yevgen Pyvovarov's Charity Fund, Charity Fund Modern Village and Town, Charity Fund TAPS, Christian Medical Association, First Lviv Territorial Medical Union, Humanitarian Hub Zhytomyr, Mission Kharkiv, Yashchenko Foundation West HQ"
UA-18,Zhytomyrska,Zhytomyr,173379.0,459,4,48,24,21,"Charity Fund TAPS, Christian Medical Association, Humanitarian Hub Zhytomyr, Mission Kharkiv"
UA-63,Kharkiv,Kharkiv,171479.0,1192,10,171,51,31,"AMOR Ukraine Health Organization, CF Yevgen Pyvovarov's Charity Fund, Charity Fund Hromada Hub, Charity Fund Modern Village and Town, Charity Fund TAPS, Christian Medical Association, Fondation Humanitaire Internationale AICM Ukraine, Humanitarian Hub Zhytomyr, Mission Kharkiv, Yashchenko Foundation West HQ"
UA-35,Kirovohradska,Kirovohrad,161779.0,760,5,40,21,22,"Charity Fund Hromada Hub, Charity Fund TAPS, Christian Medical Association, Humanitarian Hub Zhytomyr, Yashchenko Foundation West HQ"
UA-32,Kiev,Kiev,119269.0,440,8,47,31,19,"AMOR Ukraine Health Organization, CF Yevgen Pyvovarov's Charity Fund, Charity Fund Modern Village and Town, Charity Fund TAPS, Christian Medical Association, Fondation Humanitaire Internationale AICM Ukraine, Humanitarian Hub Zhytomyr, ICF UKRAINIAN SOUL"
UA-05,Vinnytska,Vinnytsia,106894.0,210,5,24,16,17,"Charity Fund TAPS, Christian Medical Association, Humanitarian Hub Zhytomyr, Mission Kharkiv, Yashchenko Foundation West HQ"
UA-48,Mykolaivska,Mykolaiv,86328.42,319,8,27,13,27,"CF Yevgen Pyvovarov's Charity Fund, Charity Fund Hromada Hub, Charity Fund Modern Village and Town, Charity Fund TAPS, Christian Medical Association, Humanitarian Hub Zhytomyr, ICF UKRAINIAN SOUL, Yashchenko Foundation West HQ"
UA-65,Khersonska,Kherson,65484.0,205,4,12,6,18,"Charity Fund Hromada Hub, Charity Fund Modern Village and Town, Charity Fund TAPS, Yashchenko Foundation West HQ"
UA-53,Poltavska,Poltava,60459.0,529,7,48,23,23,"Charity Fund Modern Village and Town, Charity Fund TAPS, Fondation Humanitaire Internationale AICM Ukraine, Humanitarian Hub Zhytomyr, ICF UKRAINIAN SOUL, Mission Kharkiv, Yashchenko Foundation West HQ"
UA-59,Sumska,Sumy,51557.0,700,9,56,26,25,"CF Yevgen Pyvovarov's Charity Fund, Charity Fund Hromada Hub, Charity Fund Modern Village and Town, Charity Fund TAPS, Christian Medical Association, Fondation Humanitaire Internationale AICM Ukraine, Humanitarian Hub Zhytomyr, Mission Kharkiv, Yashchenko Foundation West HQ"
UA-74,Chernihivska,Chernihiv,45821.42,246,9,26,16,22,"Charity Fund Hromada Hub, Charity Fund Modern Village and Town, Charity Fund TAPS, Christian Medical Association, Fondation Humanitaire Internationale AICM Ukraine, Humanitarian Hub Zhytomyr, ICF UKRAINIAN SOUL, Mission Kharkiv, Yashchenko Foundation West HQ"
UA-61,Ternopilska,Ternopil,36102.0,390,7,29,22,20,"Charity Fund Hromada Hub, Charity Fund Modern Village and Town, Charity Fund TAPS, Christian Medical Association, Humanitarian Hub Zhytomyr, Mission Kharkiv, Yashchenko Foundation West HQ"
UA-77,Chernivtsi,Chernivtsi,34125.0,423,5,41,14,20,"Charity Fund Hromada Hub, Charity Fund TAPS, Christian Medical Association, Mission Kharkiv, Yashchenko Foundation West HQ"
UA-23,Zaporizhzhia,Zaporizhzhya,29764.0,172,6,28,12,19,"Charity Fund Hromada Hub, Charity Fund TAPS, Christian Medical Association, ICF UKRAINIAN SOUL, Mission Kharkiv, Yashchenko Foundation West HQ"
UA-51,Odesa,Odesa,29112.0,140,6,30,13,18,"AMOR Ukraine Health Organization, Charity Fund TAPS, Christian Medical Association, Humanitarian Hub Zhytomyr, ICF UKRAINIAN SOUL, Mission Kharkiv"
UA-21,Uzhhorod,Transcarpathia,20072.0,90,5,18,14,14,"Charity Fund TAPS, Christian Medical Association, ICF UKRAINIAN SOUL, Mission Kharkiv, Yashchenko Foundation West HQ"
UA-56,Rivne,Rivne,14761.0,140,3,22,13,18,"Charity Fund TAPS, Christian Medical Association, Mission Kharkiv"
UA-14,Donetsk,Donetsk,12030.0,197,4,23,17,18,"Charity Fund TAPS, Christian Medical Association, Fondation Humanitaire Internationale AICM Ukraine, Mission Kharkiv"
UA-07,Volynska,Volyn,11862.0,248,5,27,12,17,"Charity Fund Modern Village and Town, Charity Fund TAPS, Christian Medical Association, Humanitarian Hub Zhytomyr, Mission Kharkiv"
UA-68,Khmelnitskiy,Khmel'nyts'kyy,11025.0,415,4,36,23,19,"Charity Fund TAPS, Christian Medical Association, Mission Kharkiv, Yashchenko Foundation West HQ"
UA-26,Ivano-Frankivska,Ivano-Frankivsk,8256.0,127,6,17,9,13,"Charity Fund Modern Village and Town, Charity Fund TAPS, Christian Medical Association, Humanitarian Hub Zhytomyr, ICF UKRAINIAN SOUL, Mission Kharkiv"
UA-09,Luhanska,Luhansk,5271.0,147,2,11,6,17,"Charity Fund TAPS, Humanitarian Hub Zhytomyr"
